Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_UNO_R3,1,Arduino_UNO_R3,
BZ1,MagneticBuzzer_Kobitone_254-EMB84Q-RO,1,Buzzer,
"C1, C2",CP_EIA-7343-31_Kemet-D,2,100uF,
"C10, C14, C9",0603,3,22uF,
C11,0603,1,.47uF,
C12,0603,1,1uF,
"C13, C6, C7",0805,3,10uF,
C3,0805,1,10u,
"C35, C37",0603,2,47pF,
"C38, C39, C4, C40, C41, C42, C45, C46",0603,8,10uF,
C47,0603,1,1nF,
C48,0603,1,4.7uF,
C8,0805,1,.1uF,
D1,D_SOD-123,1,1N914WT,
"D10, D7",D_PowerDI-123,2,D_Small,
D2,0603,1,STM,
"D3, D4, D5, D6",D_SOD-323_TVS,4,DESD5V0U1BA,
D8,0603,1,ESP,
D9,0603,1,LED,
F1,1206,1,Polyfuse_Small,
"H1, H2, H3, H4",MountingHole_2.7mm_M2.5,4,MountingHole,
"J1, J18, J2, J3, J4, J5, J6",Molex_SPOX_5267-03A_1x03_P2.50mm_Vertical,7,Conn_01x03_Socket,
"J10, J11, J12, J13, J14, J9",JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,6,Conn_01x02_Socket,
J16,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J17,PinHeader_1x12_P2.54mm_Vertical,1,Conn_01x12_Pin,
J19,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,Conn_01x03_Socket,
J20,PinSocket_1x05_P2.54mm_Horizontal,1,Conn_01x05_Socket,
J21,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
J7,JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal,1,Conn_01x03,
J8,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0,
L1,L_Abracon_ASPI-0630LR,1,3.3uH,
P1,DEAN_PCB,1,CONN_002,
Q1,TSOT-23,1,2N7002AQ,
"R1, R2, R21, R25, R26, R33, R4",0603,7,1K,
"R10, R3",0603,2,1K5,
R11,0603,1,100K,
"R12, R13, R14, R15, R24",0603,5,100R,
"R16, R17",0603,2,5.1K,
"R18, R19, R20, R23, R28, R29, R30, R7, R8",0603,9,10K,
R22,0603,1,120R,
"R31, R32",0603,2,4K7,
R6,0603,1,3K,
R9,0603,1,11K5,
"SW1, SW2",SW_Push_1P1T_NO_CK_KMR2,2,SW_Push,
SW3,SW_SPST_EVQP7C,1,SW_Push,
"TP1, TP2, TP3",TestPoint_Pad_D1.5mm,3,TestPoint,
U1,SOIC-14_3.9x8.7mm_P1.27mm,1,74126,
U2,IC_TPS56528DDAR,1,TPS56528DDAR,
U3,TO-243AA,1,AZ1117CH-3_3TRG1,AZ1117CH-3.3TRG1
U4,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
U5,LQFP-64_10x10mm_P0.5mm,1,STM32F446RETx,
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1051T-3,
U7,LGA-14L_2P5X3X0P86_STM,1,LSM6DSOTR,
Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,1,Resonator_Small,
